Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
13.8,25.2,6,Autauga County,20.9,85.6,0.5,1.1,18.7,2.7,0.1,1.8,77.9,75.6,24571,12.1,53682,54571,55395,1.5,91.8,AL
18.7,22.2,5.6,Baldwin County,27.7,89.1,0.7,0.9,9.6,4.6,0.1,1.6,87.1,83,26766,13.9,50221,182265,200111,9.8,114.6,AL
16.5,21.2,5.7,Barbour County,13.4,73.7,0.6,0.5,47.6,4.5,0.2,0.9,50.2,46.6,16829,26.7,32911,27457,26887,-2.1,31,AL
14.8,21,5.3,Bibb County,12.1,77.5,0.4,0.2,22.1,2.1,0.1,0.9,76.3,74.5,17427,18.1,36447,22915,22506,-1.8,36.8,AL
17,23.6,6.1,Blount County,12.1,77,0.6,0.3,1.8,8.7,0.1,1.2,96,87.8,20730,15.8,44145,57322,57719,0.7,88.9,AL
14.9,21.4,6.3,Bullock County,12.5,67.8,0.8,0.3,70.1,7.5,0.7,1.1,26.9,22.1,18628,21.6,32033,10914,10764,-1.4,17.5,AL
18,23.6,6.1,Butler County,14,76.3,0.4,0.9,44,1.2,0,0.8,53.9,53.1,17403,28.4,29918,20947,20296,-3.1,27,AL
16,22.2,5.7,Calhoun County,16.1,78.6,0.5,0.9,21.1,3.5,0.1,1.7,75.8,72.9,20828,21.9,39962,118572,115916,-2.3,195.7,AL
18.3,21.4,5.9,Chambers County,11.8,,0.3,0.8,39.5,2,0.1,1.1,58.3,56.8,19291,24.1,32402,34215,34076,-0.3,57.4,AL
20.9,20.4,4.8,Cherokee County,12.8,78.3,0.5,0.3,4.6,1.5,0,1.6,93,91.6,22030,21.2,34907,25989,26037,0.2,46.9,AL
15.2,24.2,6.4,Chilton County,12.9,76,0.5,0.4,10.6,7.7,0.2,1.2,87.1,80.3,20701,19.5,41250,43643,43931,0.7,63,AL
20.8,20.6,4.9,Choctaw County,11.8,75.2,0.2,0.3,42.4,0.8,0,0.5,56.6,56.1,20323,21.5,33941,13859,13323,-3.9,15.2,AL
18,22.6,5.6,Clarke County,11.2,78.3,0.4,0.5,44.2,1.3,0,0.8,54,53.1,18979,29.3,29357,25833,24945,-3.5,20.9,AL
19.4,21.6,5.3,Clay County,9.2,76.5,0.6,0.3,14.5,3.4,0,1.8,82.8,79.7,18694,19,34002,13932,13552,-2.7,23.1,AL
18.4,23.3,5.7,Cleburne County,9,76,0.4,0.2,3.6,2.5,0.1,1.2,94.5,92.3,19108,18.4,38019,14972,15080,0.7,26.7,AL
15.9,23.7,6.1,Coffee County,22.5,82.4,1.4,1.6,17.7,6.4,0.4,2.5,76.4,71.3,23380,18.6,43768,49948,50909,1.9,73.6,AL
18.5,21.7,5.7,Colbert County,17.7,83.5,0.6,0.5,16.3,2.6,0.1,1.7,80.8,78.8,21572,17.9,39077,54428,54543,0.2,91.8,AL
20.4,21.4,5.5,Conecuh County,8.8,77.3,0.4,0.1,46.2,1.8,0,1.2,52.1,51.1,15605,32.7,24658,13228,12670,-4.2,15.6,AL
18.5,18.3,4.8,Coosa County,9.8,75,0.6,0.2,31.8,2.3,0.2,1.2,66.1,64.8,18493,20.9,37277,11539,10886,-7.4,17.7,AL
19.8,22.1,5.9,Covington County,14.2,78.4,0.6,0.5,13,1.6,0,1.6,84.3,83.1,20391,20,35869,37765,37914,0.4,36.6,AL
18,22.7,6.1,Crenshaw County,12.7,76.7,0.5,1.8,24,1.7,0.1,1.6,72,70.6,21343,19.1,36275,13906,13977,0.5,22.8,AL
17.6,22.5,5.9,Cullman County,14.8,79.8,0.6,0.5,1.4,4.4,0,1.2,96.2,92.1,20760,18.8,38847,80406,81289,1.1,109.4,AL
15.4,23.6,6.3,Dale County,17,84.1,0.8,1.3,19.7,6.1,0.1,2.8,75.2,70.2,22685,17.4,44889,50251,49484,-1.5,89.6,AL
15.6,25.2,6.7,Dallas County,14.2,77.5,0.2,0.5,69.5,1,0,0.7,29,28.5,17245,35.5,26519,43820,41711,-4.8,44.8,AL
15.7,24.7,6.2,DeKalb County,10.7,70.6,2.1,0.4,2.1,14.2,0.7,2.2,92.4,80.6,18149,19.9,37851,71109,71065,-0.1,91.5,AL
14,23,5.9,Elmore County,21,86.6,0.4,0.7,21.2,2.7,0.1,1.6,76,73.7,23856,13.4,54766,79303,80977,2.1,128.2,AL
16.7,22,6.1,Escambia County,11.7,76.2,3.4,0.3,32.4,2.1,0.1,1.7,62.2,60.6,16540,25.4,30687,38319,37733,-1.5,40.5,AL
17.3,22.1,5.7,Etowah County,14.8,81.8,0.5,0.8,15.5,3.7,0.3,1.6,81.2,78.4,20204,19,38013,104430,103531,-0.9,195.2,AL
19.6,21.7,5.4,Fayette County,13.2,74.9,0.4,0.3,11.9,1.4,0,1.1,86.2,85,18494,19.9,33838,17241,16874,-2.1,27.5,AL
15.9,24.3,6.6,Franklin County,11,72.5,1.5,0.4,4.6,16.1,0.2,1.5,91.9,78,18888,21.9,36415,31704,31601,-0.3,50,AL
19.2,22.2,5.8,Geneva County,10.4,77.2,1,0.4,9.7,3.6,0.1,1.7,87.1,84.1,20199,21.2,35625,26790,26712,-0.3,46.6,AL
17.9,23.3,5.9,Greene County,12.8,76.2,0.2,0.2,80.5,1,0,0.6,18.5,17.9,14930,32.9,24226,9045,8553,-5.4,14,AL
17.3,23.3,6.2,Hale County,12.8,77.4,0.2,0.3,58.1,1.3,0,0.6,40.8,40,18812,26.6,30051,15760,15184,-3.7,24.5,AL
20.8,21.2,5.5,Henry County,16.6,80.1,0.3,0.7,27.3,2.6,0,1.2,70.4,68.4,21924,14.4,41650,17302,17190,-0.6,30.8,AL
16.1,23.7,6.2,Houston County,19.7,83.9,0.5,0.9,26.7,3.3,0.1,1.8,70,67.3,23316,18,40948,101547,104193,2.6,175.1,AL
18.6,21.7,5.4,Jackson County,13,74.6,1.6,0.5,3.6,2.9,0.1,2.6,91.5,89.4,20486,16,37634,53227,52665,-1.1,49.4,AL
14.3,23.1,6.6,Jefferson County,30,87.4,0.3,1.6,42.9,3.8,0.1,1.1,54,50.8,26906,18,45429,658466,660793,0.4,592.5,AL
20.5,21.7,5,Lamar County,9.5,76.1,0.2,0.1,11.3,1.4,0,1.4,87.1,85.8,19026,22.3,36028,14564,14086,-3.3,24.1,AL
18.2,20.5,5.2,Lauderdale County,21.1,83.8,0.5,0.9,10.4,2.4,0.1,1.5,86.7,84.7,23510,17.2,42844,92709,93096,0.4,138.8,AL
16.8,21.7,5.3,Lawrence County,11.9,77.1,5.8,0.2,11.4,2.2,0,4.4,78.1,76.4,20181,17.5,38551,34339,33477,-2.5,49.7,AL
10.3,21.6,5.8,Lee County,32.5,86.7,0.4,3.3,23.7,3.9,0.1,1.5,70.9,67.7,23506,22,43542,140247,154255,9.9,230.8,AL
13.8,23.4,5.9,Limestone County,22.7,81.5,0.8,1.4,13.5,5.8,0.2,2.1,82,77.2,25020,14.7,48619,82782,90787,9.7,147.8,AL
17.4,23.1,6.7,Lowndes County,14.4,73.9,0.3,0.2,72.9,1.2,0,0.8,25.8,25.3,18368,26.7,26230,11299,10580,-6.4,15.8,AL
16.8,18.3,4.7,Macon County,19.6,80,0.2,0.3,81.5,1.5,0,1.4,16.7,16.2,16826,27.3,30724,21452,19425,-9.4,35.2,AL
13.7,22.4,5.8,Madison County,38.5,90,0.8,2.6,24.6,4.7,0.1,2.5,69.4,65.5,31933,12.8,58434,334811,350299,4.6,417.7,AL
18.6,23,6,Marengo County,17.4,83.7,0.3,0.3,51,2.4,0.2,0.8,47.4,45.6,22072,24,35079,21027,20110,-4.4,21.5,AL
20.1,21.2,5.4,Marion County,9.5,74.6,0.3,0.3,4.2,2.5,0.1,1.2,93.9,91.7,19576,20.9,32888,30776,30271,-1.6,41.5,AL
16.3,24.5,6.6,Marshall County,15.2,76.2,1.1,0.7,2.7,12.9,0.3,1.6,93.7,82.3,20382,19.5,39526,93019,94636,1.7,164.4,AL
14.5,24,6.7,Mobile County,20.7,83.9,1,2,35.3,2.8,0.1,1.5,60.1,57.8,22501,19.8,43028,412992,415123,0.5,335.9,AL
17.9,23.4,5.5,Monroe County,10.6,76.1,1.3,0.4,41.1,1.2,0,1.6,55.5,54.7,15749,28.6,29203,23068,21947,-4.9,22.5,AL
13.3,24,6.8,Montgomery County,31.5,85.6,0.3,2.6,56.7,3.4,0.1,1.3,38.9,36.3,24975,21.2,44790,229363,226189,-1.4,292.5,AL
15.9,23.1,6,Morgan County,19.9,81.4,1.1,0.7,12.5,7.9,0.1,2,83.5,76.6,23764,15.7,44800,119490,119607,0.1,206.3,AL
17.9,22.4,5.5,Perry County,10.4,70.2,0.2,0.4,67.5,1.3,0.1,0.7,31.1,30.3,13716,25.6,28209,10591,9826,-7.1,14.7,AL
17.8,20.5,5.2,Pickens County,11,79.7,0.2,0.3,40.2,4.1,0.4,0.9,58.1,54.7,17153,27.2,28741,19746,20365,3.1,22.4,AL
14.1,19.4,5.7,Pike County,23,81,0.7,2.2,36.9,2.2,0.1,1.6,58.5,57.1,19715,27.6,33090,32899,33389,1.5,48.9,AL
19.6,22,5.7,Randolph County,11.1,72.6,0.5,0.3,20.2,2.9,0.1,1.4,77.6,75,19830,24.5,35213,22913,22539,-1.6,39.5,AL
12.5,25.3,7.6,Russell County,16,80.4,0.6,0.8,42.9,5,0.2,2.4,53.1,49.5,19678,22,36143,52947,59608,12.6,82.6,AL
15.3,23,6.1,St. Clair County,15.5,82,0.4,0.8,9.5,2.3,0.1,1.3,87.9,85.9,23872,15.2,50786,83593,86697,3.7,132.3,AL
13,24.4,6,Shelby County,40.3,91.2,0.4,2.2,12.1,6,0,1.3,84,78.5,33313,7.9,68770,195085,206655,5.9,248.5,AL
16.3,19.7,4.8,Sumter County,14.9,75.5,0.1,0.4,73.5,1.1,0,0.5,25.5,24.8,14156,38,22186,13763,13166,-4.3,15.2,AL
16.1,22.3,5.5,Talladega County,13,78.9,0.4,0.4,32.5,2.3,0,1.5,65.2,63.4,19410,22.9,35439,82291,81322,-1.2,111.7,AL
19.6,21.1,5.8,Tallapoosa County,16.3,79.2,0.4,0.5,27.3,2.3,0,1.2,70.6,68.9,21434,19.8,39130,41616,41165,-1.1,58.1,AL
11.7,21.1,6,Tuscaloosa County,27,86.6,0.3,1.5,31,3.3,0.1,1.1,66,63.2,22637,18.9,45408,194656,202212,3.9,147.3,AL
18.2,22.1,5.8,Walker County,10.5,76.4,0.5,0.4,6.4,2.3,0.1,1.3,91.3,89.4,20698,20.9,37566,67023,65471,-2.3,84.7,AL
17,22.5,4.9,Washington County,9.5,80.5,7.9,0.1,24.6,1.4,0.1,1.3,66,65.1,20395,18.4,42156,17581,16834,-4.3,16.3,AL
17.7,24.8,5.7,Wilcox County,11.1,76.1,0.2,0.1,71,1,0,0.6,28.1,27.6,13379,39.2,23642,11670,11098,-4.9,13.1,AL
20,20.9,5,Winston County,10.4,72.7,0.9,0.3,1,2.9,0.2,1.4,96.3,94,18995,24,32900,24484,24150,-1.4,39.9,AL
6.6,10.1,2.8,Aleutians East Borough,12,78.5,20.5,40.7,12,13.2,0.6,3.4,22.8,11.5,26535,16.7,61250,3141,3360,7,0.4,AK
5.4,12.3,3.6,Aleutians West Census Area,13.3,82.7,13,34.5,7.6,14.1,2.3,4.7,37.8,26.9,31790,9.2,81853,5561,5750,3.4,1.3,AK
8.9,24.9,7.4,Anchorage Municipality,32.8,92.5,8.2,9.2,6.3,8.9,2.4,7.8,66.1,59.7,36214,7.9,77454,291826,301010,3.1,171.2,AK
6.6,36.1,11.1,Bethel Census Area,11.7,79.5,81.7,1.1,0.8,1.8,0.2,4.1,12.1,11.5,18497,22.8,51689,17013,17868,5,0.4,AK
9.7,20.1,5.2,Bristol Bay Borough,19.4,91.7,35.2,1,0,4.3,0.3,17.3,46.1,44.1,37024,7.9,79531,997,957,-4,2,AK
8.5,18.8,4.7,Denali Borough,28.1,88.8,3.7,3.6,1.8,3.7,0.1,4.8,86,82.7,35295,11.4,72500,1826,1921,5.2,0.1,AK
7.9,31.9,11,Dillingham Census Area,17.8,83.7,70.4,0.9,0.7,3.1,0.2,9.1,18.7,17.6,21498,18.1,54150,4847,4988,2.9,0.3,AK
8,24.1,7.7,Fairbanks North Star Borough,29,93.1,7.3,3.1,5.4,7.7,0.5,6.3,77.3,71.3,32143,8.4,69223,97581,99357,1.8,13.3,AK
16.8,19.1,3.7,Haines Borough,30.1,96.4,10.4,1.1,0.7,2.5,0,8.8,79.1,77.5,31096,7.8,52866,2508,2566,2.3,1.1,AK
16.5,19.4,5.2,Hoonah-Angoon Census Area,26.9,88.4,39.5,0.7,0.6,5.1,0.1,10.3,48.8,47.2,28806,14.9,49545,2150,2082,-3.1,0.3,AK
10.6,22.1,5.9,Juneau City and Borough,36.7,95.5,11.9,6.2,1.6,6.5,1.1,9.3,69.9,65.5,37558,6.2,81490,31275,32406,3.6,11.6,AK
14.2,23.1,6.4,Kenai Peninsula Borough,23.7,92.8,7.3,1.4,0.8,4,0.3,5.7,84.5,81.4,31256,8.6,61793,55400,57477,3.7,3.4,AK
12.5,22.8,6.5,Ketchikan Gateway Borough,25.4,93.5,13.8,7.5,0.9,4.9,0.2,9.1,68.4,65.2,31589,10.2,62519,13477,13787,2.3,2.8,AK
8.6,26,8,Kodiak Island Borough,20,89.6,13,20.7,1.5,8.7,0.9,6.7,57.2,50.8,28562,11.7,68718,13592,13986,2.8,2.1,AK
9,28.1,9.3,Lake and Peninsula Borough,15.4,86.8,63.4,0.3,1,3.2,0.3,9.9,25.1,23.6,21616,21.1,51786,1631,1631,-0.2,0.1,AK
9.6,27.3,7.2,Matanuska-Susitna Borough,21.3,92.4,6.4,1.4,1.3,4.7,0.4,6.7,83.8,80.3,29534,9.9,71037,88995,97882,10,3.6,AK
7.3,34.9,11.1,Nome Census Area,17.1,84.1,74.5,1.2,0.7,2,0.1,6.3,17.3,16.5,20271,27.7,49974,9492,9817,3.4,0.4,AK
4.8,25.8,8.6,North Slope Borough,14.5,86,52.1,5.8,1.5,3.9,1.6,5.1,33.9,32.1,46457,10.3,80761,9430,9703,2.9,0.1,AK
6.9,36.1,11.5,Northwest Arctic Borough,11,78.7,78.8,0.9,1,2.1,0.2,6,13.1,12.1,21461,22,61607,7523,7717,2.6,0.2,AK
13.3,22.3,6.7,Petersburg Borough,25.7,95.7,9.8,3.1,1.6,5.6,0.3,7.3,77.9,73.6,34183,13.5,63934,3815,3160,-1.5,1.2,AK
11.4,24.1,6.5,Prince of Wales-Hyder Census Area,15.7,91,42.4,0.7,0.4,3.3,0.4,9,47.2,45.5,24581,15.1,46071,5559,6396,3.6,1.4,AK
13.2,22.2,6.1,Sitka City and Borough,34.1,91.2,15.9,6.6,1.1,6,0.3,9.1,67,63.6,32521,10,69405,8881,8900,0.2,3.1,AK
10.6,13.1,5.2,Skagway Municipality,24.3,95.2,5,0.7,0.3,4.3,0.2,4,89.9,86.2,37139,5.5,71667,968,1036,7,2.1,AK
12,25.6,7.7,Southeast Fairbanks Census Area,23.1,93.1,11.6,1.3,1.5,4.9,0.5,5.2,80,76.2,29437,13.3,56801,7029,6931,-1.4,0.3,AK
10.1,24.5,7.1,Valdez-Cordova Census Area,23.9,91,13.5,4,0.9,4.7,0.7,6.9,74,70.7,32579,8.3,74878,9636,9488,-1.5,0.3,AK
5.2,42,13.7,Wade Hampton Census Area,5.4,76.6,91.7,0.3,0.2,1.1,0,2.6,5.2,4.9,11210,31.4,40176,7459,8010,7.4,0.4,AK
17.9,20.3,4.8,Wrangell City and Borough,16.7,89,16.9,1.9,0.4,2.2,0,10.3,70.6,69.2,28474,9.5,45841,2369,2364,0,0.9,AK
12.8,19.2,5.7,Yakutat City and Borough,22.7,93.2,36.1,4.6,2.5,3.3,1.7,15.3,39.8,37.2,34317,5.9,72500,662,635,-4.1,0.1,AK
13.3,27.8,8.3,Yukon-Koyukuk Census Area,9.3,80.3,70.7,0.3,0.6,2,0.1,5,23.2,22,19729,24.2,34710,5588,5547,-0.7,0,AK
13.5,29.3,7.6,Apache County,10.4,74.5,73.5,0.4,0.9,6.4,0.1,1.8,23.4,19,12709,36.2,31476,71518,71828,0.4,6.4,AZ
19.9,22.4,6.5,Cochise County,22.5,85.8,1.7,2.2,4.7,34.6,0.4,3.1,87.9,56.1,23608,17.1,45755,131346,127448,-3,21.3,AZ
11.1,21.8,6.1,Coconino County,31.1,87.6,27.3,1.8,1.6,13.9,0.2,2.8,66.4,54.9,23382,23,49555,134421,137682,2.4,7.2,AZ
26.6,20.4,5.7,Gila County,16.1,84.3,16.5,0.8,0.9,18.8,0.1,1.6,80.2,63.2,20792,21.6,39954,53597,53119,-0.9,11.3,AZ
12.3,28.3,7.7,Graham County,12.3,84.4,14,0.7,2.1,32.1,0.2,1.8,81.1,51.4,17168,22.3,44943,37220,37957,2,8.1,AZ
11.6,28.1,6.8,Greenlee County,11.1,84.3,3.3,0.8,1.8,46.6,0.2,2.3,91.5,47.8,20516,16,47992,8437,9346,10.8,4.6,AZ
36.1,17.4,4.6,La Paz County,9.3,75.3,17.8,0.9,1.2,25.7,0.1,2.9,77.1,59.3,22200,19.4,35776,20489,20231,-1.3,4.6,AZ
13.8,25.1,6.7,Maricopa County,29.8,86.4,2.8,4.1,5.7,30.3,0.3,2.8,84.4,57,27256,16.7,53596,3817117,4087191,7.1,414.9,AZ
26.9,18.7,4.6,Mohave County,11.9,83.8,2.9,1.2,1.3,15.8,0.2,2.3,92,78,20833,19.4,39200,200186,203361,1.6,15,AZ
15.8,28,7.3,Navajo County,14.9,80.6,44.9,0.7,1.3,11.1,0.1,2,51,42.2,16626,30.3,36927,107449,108101,0.6,10.8,AZ
17.7,21.9,5.9,Pima County,29.8,87.2,4.3,3.1,4.1,36.1,0.2,2.8,85.5,53.3,25269,19.2,45841,980263,1004516,2.5,106.7,AZ
18,24.4,6,Pinal County,18,84.7,6.8,1.9,4.9,29.2,0.4,2.8,83.2,57.9,20910,15.6,50027,375770,401918,7,70,AZ
15.8,28.3,7.3,Santa Cruz County,19.8,72.5,1.3,0.7,0.9,82.8,0.1,0.8,96.2,15.6,17664,26.3,37745,47420,46695,-1.5,38.3,AZ
28.1,17.4,4.1,Yavapai County,24.2,90.2,2.1,1,0.9,14.2,0.1,2.2,93.6,80.9,25186,15.8,42987,211033,218844,3.7,26,AZ
17.4,26.2,7.5,Yuma County,14.3,71.9,2.2,1.5,2.7,61.7,0.3,2,91.3,32.9,18840,20.2,41595,195751,203247,3.8,35.5,AZ
17.5,23,6.8,Arkansas County,12.4,84.1,0.4,1,24.5,3,0,1.5,72.6,70.2,23045,15.8,39633,19019,18594,-2.2,19.2,AR
18.4,23.6,6.5,Ashley County,12.2,84.2,0.8,0.3,25.6,5.2,0.1,1.4,71.9,67.7,19761,18.9,35683,21853,20948,-4.1,23.6,AR
30,17.8,4.4,Baxter County,16.5,87.6,0.7,0.6,0.4,2,0,1.5,96.8,95.2,21334,15.5,35343,41513,40857,-1.6,74.9,AR
13,27,7.2,Benton County,28.7,85.8,1.9,3.4,1.9,16.2,0.4,2.3,90,74.9,26715,12.2,54515,221339,242321,9.5,261.2,AR
19.8,22.6,6,Boone County,15.4,85.4,0.8,0.6,0.4,2.3,0.1,1.8,96.3,94.3,22160,16.6,38506,36903,37196,0.8,62.5,AR
18.3,23.4,6.9,Bradley County,10.8,76,1.9,0.5,27.6,14.3,0,1.6,68.3,56.3,19386,31.3,30409,11508,11148,-3.1,17.7,AR
19.8,18.1,5,Calhoun County,7.4,80.5,0.5,0.2,22,3.9,0,1.6,75.7,72.3,17763,14.9,30980,5368,5202,-3.1,8.5,AR
21.1,22.1,5.5,Carroll County,17.3,84.6,1.3,0.9,0.8,14.6,0.6,2,94.5,81.1,20637,18.8,36584,27446,27744,1.1,43.6,AR
19.2,23.2,6.7,Chicot County,12.6,74.2,0.5,0.5,54.6,5.6,0,0.9,43.5,39.2,16538,33,26201,11800,11180,-5.3,18.3,AR
16.1,19.2,4.9,Clark County,21.4,86.2,0.6,0.7,24,4.4,0,1.4,73.4,69.6,17960,24.3,32721,22995,22576,-1.8,26.6,AR
21.4,20.4,4.3,Clay County,9.5,76.1,0.4,0.2,0.6,1.8,0,1.3,97.4,95.7,18509,20.2,31502,16083,15118,-6,25.2,AR
25.4,19.8,4.8,Cleburne County,16.8,84.5,0.7,0.3,0.5,2.6,0,1.4,97,94.8,23044,15.8,40246,25970,25634,-1.3,46.9,AR
19.1,23.4,5.1,Cleveland County,13.8,84.8,0.5,0.1,11.4,2.2,0,1.3,86.6,84.7,20622,17.7,39420,8689,8449,-2.8,14.5,AR
16.6,21.6,5.8,Columbia County,20.3,85.4,0.5,0.9,36.2,2.7,0,1.3,61.1,59.4,19439,25.4,35128,24552,23933,-2.5,32.1,AR
18.3,23.1,5.9,Conway County,14.7,84.5,0.8,0.6,11.4,4,0,2.1,85,81.5,20040,24,35225,21273,21083,-0.9,38.5,AR
13,24.9,6.9,Craighead County,24.4,84.9,0.6,1.1,14.5,4.7,0.1,1.6,82.2,78,23138,20.6,41393,96443,102518,6.3,136.4,AR
15.3,25.1,6,Crawford County,14.3,82.2,2.5,1.6,1.6,6.7,0.1,2.8,91.5,85.6,19477,20.2,39479,61948,61697,-0.4,104.4,AR
12.1,27.9,7.7,Crittenden County,13.9,79.1,0.4,0.7,51.8,2.3,0,1.2,45.9,44.1,19665,26.3,37751,50902,49548,-2.7,83.5,AR
17.6,24,6.9,Cross County,11.4,79,0.3,0.5,22.9,1.9,0,1.3,74.9,73.3,18701,17.4,38085,17870,17227,-3.6,29,AR
20.5,22.3,5.5,Dallas County,10.2,82.1,0.5,0.2,41.3,2.7,0,1.5,56.4,54.1,16838,19.7,28931,8116,7755,-4.4,12.2,AR
17.1,25.6,6.8,Desha County,12.7,76.9,0.4,0.4,47.9,4.8,0.1,1,50.1,46.6,19822,30.1,28680,13008,12264,-5.7,16.9,AR
16.1,22.4,6.3,Drew County,19.1,81.3,0.4,0.9,28,2.9,0,1.1,69.6,67,17057,28.5,31171,18509,18622,0.6,22.3,AR
11.2,23.9,6.6,Faulkner County,27.2,89.4,0.7,1.2,11.3,4.1,0.1,2,84.6,81.1,24401,14.6,50314,113237,120768,6.7,174.8,AR
18,23.6,5.9,Franklin County,12.4,82.1,1.3,0.9,0.9,3,0.1,1.6,95.2,92.5,19135,20.5,36766,18125,17805,-1.8,29.8,AR
25.4,20.4,4.8,Fulton County,10,83.7,0.7,0.3,0.6,1.2,0,1.6,96.8,95.8,19326,18.7,35522,12245,12125,-1,19.8,AR
21.7,20.9,5.7,Garland County,20.9,86.8,0.7,0.8,8.5,5.3,0.1,2.3,87.7,82.9,23170,20.7,39162,96024,97322,1.4,141.7,AR
16.1,23.5,5.7,Grant County,17.6,84.9,0.5,0.4,2.8,2.6,0,1.4,94.8,92.7,23239,9.9,49004,17853,18144,1.6,28.3,AR
15,24.6,6.6,Greene County,14.7,82.8,0.5,0.3,0.9,2.7,0,1.4,96.9,94.5,19652,17.1,38413,42090,43694,3.8,72.9,AR
16.3,26.4,7.3,Hempstead County,14.1,81.7,0.7,0.5,29.9,12.6,0.1,1.9,66.8,55.3,17376,27.4,32056,22609,22327,-1.2,31.1,AR
17.2,21.6,5.3,Hot Spring County,12.3,83.4,0.6,0.4,11.6,3.3,0.1,1.8,85.6,82.7,19286,14.2,41193,32923,33368,1.4,53.5,AR
16.9,26.1,6.9,Howard County,12,76,1,0.7,20.9,11,0.1,1.4,75.8,65.7,18707,23.2,35879,13789,13500,-2.1,23.4,AR
17,24,6.4,Independence County,14.4,82.5,0.7,0.8,2.3,5.9,0.2,1.5,94.5,89.3,20289,23.7,35026,36647,36959,0.9,48,AR
25,18.2,4.5,Izard County,11.7,79.8,1.1,0.3,1.8,1.9,0,1.4,95.4,93.8,18040,18.7,30661,13696,13486,-1.5,23.6,AR
16.7,20.4,5.6,Jackson County,8.8,75.6,0.7,0.4,17.6,2.9,0.1,1.6,79.6,77.1,15609,28.4,30284,17997,17534,-2.6,28.4,AR
15.1,23.3,6.2,Jefferson County,17.5,83,0.4,0.9,55.5,1.9,0.1,1.3,41.7,40.3,19353,23.9,37140,77435,72297,-6.6,88.9,AR
15.8,24.8,7.1,Johnson County,14.7,79.7,1.2,1.2,2.1,13.5,0.1,1.9,93.4,81.1,19366,20.1,31003,25540,26005,1.8,38.7,AR
21.5,20.2,4.7,Lafayette County,10.7,77.5,0.4,0.5,37.1,2,0,1,61.1,59.7,17212,24.1,29732,7645,7111,-7,14.5,AR
19.3,22.6,5.6,Lawrence County,10.4,77.4,0.5,0.2,1,1.3,0,1.2,97.1,96,15971,25.4,32239,17415,16931,-2.8,29.6,AR
16.7,19.6,5.4,Lee County,7.1,70.1,0.6,0.5,54.2,2.7,0,1.6,43.1,41,12529,31.5,25034,10424,9860,-5.4,17.3,AR
13.5,17.8,4.4,Lincoln County,7.9,73.5,0.4,0.3,30.3,3.6,0,1.2,67.7,64.8,15023,27,32697,14134,13970,-1.2,25.2,AR
19.5,22.2,5.3,Little River County,10.6,83.4,1.9,0.4,19.7,3.1,0,2.2,75.7,73.3,19880,14,39673,13171,12532,-4.8,24.7,AR
19.2,22.4,5.6,Logan County,11.7,81.3,1.2,1.9,1.5,2.7,0,1.7,93.7,91.4,19046,17.6,34996,22353,21958,-1.8,31.6,AR
12.6,26.4,6.7,Lonoke County,18.2,86.7,0.7,0.9,6.2,4,0.1,1.8,90.4,86.8,23218,13.2,52582,68356,71557,4.7,88.7,AR
17.5,23.5,6.2,Madison County,10.3,76.6,1.7,0.8,0.4,5.4,0.4,1.6,95.2,90.4,18754,22.6,35771,15717,15740,0.1,18.8,AR
26.8,17.3,4.4,Marion County,12.9,83.6,0.9,0.3,0.4,2.3,0.1,1.8,96.5,94.6,18188,18.9,34494,16653,16367,-1.7,27.9,AR
15.2,24.1,7,Miller County,13.9,85.1,0.8,0.6,25.1,3.1,0.1,1.8,71.7,69.3,20636,19.5,41319,43462,43428,-0.1,69.5,AR
13.4,26.7,7,Mississippi County,13,77.8,0.5,0.5,34.9,4,0,1.3,62.8,59.4,18905,24.9,36428,46480,44235,-4.8,51.6,AR
20.3,21.2,5.8,Monroe County,11.3,75.3,0.7,0.6,40.3,2.2,0,1.7,56.7,55.1,16939,28.8,27263,8149,7582,-7,13.4,AR
25.4,19.2,4.3,Montgomery County,12.9,82.3,1.3,0.7,0.6,3.6,0,2.3,95.1,92.3,19021,22,31345,9487,9082,-4.3,12.2,AR
19.4,22.7,6.4,Nevada County,12.8,82.1,0.5,0.4,30.5,3.3,0.1,1.6,67.1,64.1,18695,26.5,33694,8997,8723,-3,14.6,AR
24.3,19.5,4.8,Newton County,12.7,79.8,1.5,0.3,0.3,1.8,0,2.4,95.5,94,17884,23.5,30038,8330,7904,-5.1,10.1,AR
18.3,23,6.2,Ouachita County,15.5,84.7,0.4,0.5,40.3,2.2,0.1,1.8,57,55.4,18975,23.1,32015,26120,24828,-5,35.6,AR
17.9,22.1,5.2,Perry County,11.9,84.6,0.8,0.2,2.2,2.8,0,2,94.8,92.4,22047,15.6,42455,10445,10245,-1.9,18.9,AR
16.3,27.2,8,Phillips County,12,72.8,0.4,0.4,61.6,1.7,0,1.2,36.5,35.6,16830,33.5,26737,21757,19930,-8.4,31.3,AR
18.6,22.8,5.8,Pike County,13.8,80.1,1.1,0.7,3.5,6.6,0,1.5,93.3,87.6,18377,24.8,32206,11291,11024,-2.4,18.8,AR
