Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
17.9,22.7,6.3,Wilkinson County,8.2,79.7,0.4,0.5,38.6,2.7,0,1.5,59,56.8,17228,21.3,36173,9563,9326,-2.5,21.4,GA
16.9,22.7,6,Worth County,8.1,71.4,0.4,0.5,28.9,2.1,0.1,1,69.2,67.6,18551,20.2,35792,21679,20940,-3.4,38,GA
17.5,22,6.2,Hawaii County,25.6,91,0.6,22,0.9,12.3,12.7,29.4,34.3,30.6,24635,18.3,51250,185079,194190,4.9,45.9,HI
15.8,21.5,6.5,Honolulu County,32.1,90.3,0.4,42.4,3.1,9.5,9.4,21.6,23.1,19.6,30361,9.8,72764,953207,991788,4,1586.7,HI
29.2,0,0,Kalawao County,41.5,87.7,0,7.9,0,1.1,48.3,15.7,28.1,27,45515,14.7,59375,90,89,-1.1,7.5,HI
17.4,22.3,6.4,Kauai County,25.1,90.1,0.6,31.3,0.7,10.8,9.1,24.6,33.7,30.1,26658,11.2,62052,67091,70475,5,108.2,HI
15.1,22.3,6.2,Maui County,25.7,90.2,0.6,28.7,0.9,11,10.7,23.2,35.9,31.3,29517,10.6,63512,154834,163019,5.3,133.3,HI
12.6,25.1,6.2,Ada County,36,93.6,0.8,2.6,1.3,7.7,0.2,2.7,92.4,85.5,27452,13.1,55210,392365,426236,8.6,372.8,ID
24.9,17,4.2,Adams County,21.9,92.8,1,0.5,0.2,3.2,0.1,1.8,96.4,93.6,21555,16.6,35434,3976,3861,-2.9,2.9,ID
12.8,26.8,7.3,Bannock County,26.8,91.8,3.7,1.4,0.9,8,0.3,2.2,91.6,85,21327,15.5,43534,82839,83347,0.6,74.5,ID
19.6,27.6,7.3,Bear Lake County,16.1,90.7,0.9,0.5,0.3,4.2,0,1,97.4,93.7,21853,12.9,44964,5986,5957,-0.5,6.1,ID
21.2,22.2,5.7,Benewah County,13.4,87.4,8.5,0.4,0.4,3.3,0.1,4.1,86.6,84.5,20198,14.7,39049,9285,9118,-1.8,12,ID
12.9,31.7,8.6,Bingham County,17.3,84.6,7.5,0.7,0.5,17.8,0.2,1.8,89.4,74.4,18872,15.2,47941,45607,45269,-0.7,21.8,ID
15.8,23.2,5.2,Blaine County,44.7,90.6,1.5,1,0.3,20.7,0.2,1.4,95.5,76.9,35524,8.3,64042,21376,21482,0.5,8.1,ID
21.3,18.6,3.2,Boise County,24.1,89.2,1.3,0.5,0.5,3.6,0.4,2.1,95.3,92.3,24324,17,41056,7028,6824,-2.9,3.7,ID
21.4,20.3,4.9,Bonner County,21.1,90.7,0.9,0.7,0.3,2.9,0.1,2.2,95.9,93.4,23221,15.2,41414,40877,41585,1.7,23.6,ID
12.1,31.3,8.9,Bonneville County,26,90.5,1.1,1,0.7,12.5,0.1,2.1,94.9,83.8,22657,11.4,50872,104234,108623,4.1,55.9,ID
20.5,22.9,5.1,Boundary County,15.4,84.9,2.2,0.7,0.5,4.2,0.1,2,94.5,91,19877,16.5,37003,10972,10979,0.1,8.6,ID
19.6,25.6,4.9,Butte County,17.9,89.2,1,0.3,0.2,5.8,0.2,2.3,96.1,90.6,20995,15.7,41131,2891,2622,-9.4,1.3,ID
18.6,24.4,5.7,Camas County,22.3,84.3,1.3,0.5,0.5,7.5,0.1,3.5,94.1,87.3,21830,15.5,41154,1117,1039,-7,1,ID
12.5,29.9,7.9,Canyon County,16.8,82.7,1.7,1,0.8,24.6,0.3,2.5,93.7,71.3,17755,20.4,42105,188923,203143,7.5,321.6,ID
16.8,28.6,7.4,Caribou County,17.5,88.7,0.6,0.6,0.2,5.3,0.2,1.2,97.1,92.2,23586,7.8,53586,6963,6837,-1.8,3.9,ID
13.5,32.3,8.3,Cassia County,15.6,78,1.6,0.7,0.6,26.6,0.1,1.6,95.3,71,17801,15.9,42039,22952,23540,2.5,8.9,ID
14.8,28,5.9,Clark County,11.4,70.1,2.2,1,0.8,42.6,0,2.4,93.5,54,20032,14.9,33200,982,867,-11.7,0.6,ID
25.4,16.3,4,Clearwater County,15.5,84.9,2.2,0.6,0.5,3.6,0.1,2.1,94.4,91.3,20256,12.5,40134,8761,8562,-2.3,3.6,ID
23.8,17.5,4.3,Custer County,26.3,89.6,0.7,0.4,0.2,4.1,0.1,1.5,97.1,93.2,23965,16.1,39541,4368,4140,-5.2,0.9,ID
11.8,26.4,8,Elmore County,16.9,84,1.6,2.8,3.2,16.2,0.4,3.4,88.6,74.1,20646,16.3,42842,27038,26094,-3.5,8.8,ID
13.6,34,8,Franklin County,17.4,92,0.8,0.2,0.3,6.9,0.1,1.5,97.2,91.1,17620,12.2,44962,12786,13021,1.8,19.3,ID
16,28.4,6.9,Fremont County,19.7,87.9,1.1,0.3,0.8,12.4,0.1,1.4,96.2,85.2,19475,12.4,44520,13242,12867,-2.8,7.1,ID
21.4,23.6,5.7,Gem County,15.8,86.3,0.9,1.4,0.2,8.2,0.1,2.4,95,87.6,20250,18.2,44432,16719,16866,0.9,29.8,ID
16.4,28.2,6.9,Gooding County,12.1,74.6,1.8,0.9,0.5,28.6,0.2,1.8,94.8,68.6,18373,20.8,37050,15464,15064,-2.6,21.2,ID
24,20,5.2,Idaho County,14.8,88.9,3,0.5,0.4,3.1,0.1,2.1,94,91.5,19168,17.5,37349,16267,16215,-0.3,1.9,ID
11.1,34.8,8.8,Jefferson County,22,89.4,1.3,0.5,0.4,10.3,0.2,1.6,96,87.2,19598,13.1,52023,26140,27021,3.4,23.9,ID
12.1,30.8,9.2,Jerome County,13.4,70.2,2.4,0.5,0.6,34,0.2,1.5,94.8,63.4,17182,18.3,40126,22374,22818,2,37.5,ID
17,23.6,6.1,Kootenai County,23.3,92.1,1.4,0.9,0.4,4.3,0.2,2.4,94.7,91.1,24685,13.4,49002,138494,147326,6.4,111.3,ID
11.8,18.5,5.8,Latah County,44.1,95.3,0.9,1.9,1.1,4.1,0.2,2.7,93.3,89.8,22322,20.4,41735,37244,38411,3.1,34.6,ID
27.3,18.2,4,Lemhi County,23.8,90.4,1.2,0.6,0.5,3.1,0,2,95.8,93.3,23998,23.3,34122,7936,7726,-2.6,1.7,ID
24.1,23,5.3,Lewis County,16.2,88.3,6,0.5,0.4,4,0.2,2.8,90,86.8,19910,17.9,36000,3821,3838,0.4,8,ID
12.3,30.9,7,Lincoln County,11.8,74.5,1.7,0.5,0.5,30.2,0.2,1.6,95.6,66.8,16530,16.6,42433,5208,5316,2.1,4.3,ID
6,27,10,Madison County,33.7,94.9,0.5,1.1,0.7,7,0.4,1.8,95.6,89.4,15133,35.8,32059,37536,38038,1.3,80,ID
15.5,28.9,8.2,Minidoka County,9.9,75.7,2.2,0.6,0.8,33.7,0,1.9,94.5,63.6,19597,13.6,43266,20069,20323,1.3,26.5,ID
18.9,21.7,6.2,Nez Perce County,21.1,90,5.8,0.9,0.5,3.7,0.1,2.5,90.1,87.4,24257,11.1,46503,39265,40007,1.9,46.3,ID
19.3,28,6.7,Oneida County,13.2,93.1,0.5,0.6,0.3,4.1,0.1,1.1,97.4,93.7,18920,16.1,40842,4286,4184,-2.4,3.6,ID
16.3,26.6,6.4,Owyhee County,8.2,75.4,4.5,0.7,0.8,26.5,0.2,2,91.7,68.2,15945,24.2,32175,11526,11353,-1.5,1.5,ID
17,27.1,6.9,Payette County,16.4,85.4,1.6,1,0.4,16.7,0.1,2.5,94.4,79.2,19165,20,43649,22623,22836,0.9,55.6,ID
13.9,30.5,9.9,Power County,15.9,80.3,3.1,0.5,1,31.1,0.1,2.4,92.9,64.3,17684,13.9,44212,7817,7617,-2.6,5.6,ID
21.7,19.7,5.2,Shoshone County,13.5,84.8,1.8,0.5,0.3,3.4,0.2,2.3,94.9,92.1,20487,17.4,38440,12765,12390,-2.9,4.9,ID
8.6,27.8,7.8,Teton County,34.4,87.8,0.7,0.5,0.4,17.7,0.2,1.2,97,80.4,22436,11.7,53931,10170,10341,1.7,22.6,ID
14.8,27.6,7.7,Twin Falls County,16.3,83.7,1.3,1.4,0.7,15.2,0.2,1.8,94.5,80.8,20588,15,43886,77230,80914,4.8,40.2,ID
21.6,18.3,4.3,Valley County,34.3,92.4,1.1,0.5,0.2,4.4,0.1,1.6,96.5,92.9,25785,9.5,50473,9862,9826,-0.4,2.7,ID
22.7,23.4,5,Washington County,16.7,81.8,1.5,1,0.4,17.2,0.2,2,94.9,79.2,20380,15,37453,10198,10021,-1.7,7,ID
18.7,22.5,6.2,Adams County,21.3,89.7,0.2,0.8,3.7,1.4,0,1.7,93.6,92.4,24217,14.4,45073,67103,66988,-0.2,78.5,IL
18.2,22.9,6.4,Alexander County,8.4,74.6,0.5,0.3,36.6,2.1,0.1,2.2,60.3,58.8,13619,31.6,26972,8238,7492,-9.1,35,IL
16.5,19.4,4.5,Bond County,19.1,86.3,0.6,0.8,6.5,3.5,0,1.3,90.8,87.8,23195,14.6,48163,17768,17269,-2.8,46.7,IL
14,26.1,5.7,Boone County,19.3,85.8,0.6,1.4,2.7,20.6,0.1,2.1,93.1,74.4,25888,11.3,60893,54165,53869,-0.6,193,IL
13,15,3.8,Brown County,12.2,81.5,1.2,0.3,19.2,6.2,0,0.7,78.5,74,20555,12.3,42194,6937,6832,-1.5,22.7,IL
19.9,21.8,5,Bureau County,17.4,89.2,0.4,0.9,0.9,8.6,0,1.1,96.6,88.7,26705,11.6,48977,34978,33840,-3.3,40.2,IL
22.8,20.4,5.2,Calhoun County,14.4,89,0.2,0.3,0.3,1.1,0,0.4,98.8,97.7,26924,11.9,50436,5089,4956,-2.6,20,IL
23.6,19.1,4.5,Carroll County,15.1,88.9,0.4,0.6,1.1,3.4,0,1.3,96.6,93.6,27118,13.7,47985,15387,14715,-4.4,34.6,IL
16.4,24.5,6.4,Cass County,13,86,0.8,0.6,3.8,18.9,0.1,1.2,93.5,76.5,22257,14.8,45734,13642,13156,-3.5,36.3,IL
11.1,19.2,5.5,Champaign County,42.4,93.6,0.3,10.2,12.8,5.7,0.1,2.7,73.8,69.1,25713,22.3,45808,201081,207133,3,201.8,IL
18.6,21.2,5.5,Christian County,13.5,88.2,0.2,0.7,1.6,1.6,0,1,96.5,95.1,23915,14.9,45145,34800,33892,-2.6,49.1,IL
18.7,22.8,5.8,Clark County,17.6,89.5,0.2,0.3,0.5,1.4,0,0.8,98.1,96.8,24296,12.3,47405,16335,16180,-0.9,32.6,IL
18.8,22.9,6.5,Clay County,14,87.7,0.2,0.7,0.5,1.5,0,0.9,97.6,96.3,22279,15.6,40640,13815,13520,-2.1,29.5,IL
16,21.5,5.5,Clinton County,20.3,88.7,0.4,0.5,3.7,3.1,0.1,1.1,94.3,91.6,27802,8.9,61720,37762,37857,0.3,79.7,IL
15,18,4.9,Coles County,24.2,90,0.3,1,4.1,2.3,0,1.6,93,91.1,21970,22,37040,53873,53320,-1,106,IL
12.9,22.6,6.5,Cook County,34.7,84.5,0.8,7.2,24.4,25,0.1,1.8,65.8,43,30183,16.9,54548,5194675,5246456,1,5495.1,IL
18.3,19.8,5.4,Crawford County,17.1,89.2,0.4,0.6,4.9,2.2,0,1,93.1,91.3,25214,14.4,46216,19817,19393,-2.1,44.7,IL
17.6,22.8,5.4,Cumberland County,13.8,88.8,0.1,0.7,0.5,1,0,1.1,97.6,96.7,22952,13.9,43958,11048,10833,-1.9,31.9,IL
11.1,21.7,5.8,DeKalb County,29.8,91.1,0.4,2.8,7.6,10.9,0.1,1.8,87.4,77.6,23696,19,53375,105160,105462,0.3,166.6,IL
18.1,21.6,5.5,De Witt County,16.8,92.6,0.2,0.5,0.8,2.3,0,1.2,97.2,95.1,26704,14,51051,16561,16284,-1.7,41.7,IL
16.3,25.5,6.7,Douglas County,16.2,83.8,0.3,0.7,0.6,7.3,0,1.1,97.2,90.4,23732,10.3,52741,19980,19889,-0.5,48,IL
13.5,23.4,5.9,DuPage County,46.3,92.1,0.4,11.4,5.2,14.1,0.1,1.8,81.1,68.1,38570,6.9,78487,916924,932708,1.7,2799.8,IL
20.4,21.1,5,Edgar County,18.2,86,0.2,0.2,0.5,1,0,0.8,98.2,97.3,23368,18.4,42133,18576,17841,-4,29.8,IL
19.2,23,5.7,Edwards County,10.5,86.8,0.2,0.4,0.6,1.2,0,1,97.7,96.9,20898,11.4,39075,6721,6617,-1.5,30.2,IL
16.8,23.7,6.5,Effingham County,20,90.9,0.2,0.5,0.5,1.9,0,0.8,98,96.4,27051,9.1,52108,34242,34320,0.2,71.5,IL
